Режим DEBUG: 2021-06-02 21:28:03,895  dev  ERROR: User aboba not found
Режим DEBUG: 2021-06-02 21:28:03,896  dev  WARNING: bad POST data to authorise user
Режим DEBUG: 2021-06-02 21:28:03,994  dev  INFO: POST data to sign up user
Режим DEBUG: 2021-06-02 21:28:03,996  dev  INFO: Validating username to sign up a User
Режим DEBUG: 2021-06-02 21:28:03,998  dev  INFO: Confirming password to sign up a user
Режим DEBUG: 2021-06-02 21:28:04,449  dev  INFO: Signed up user vlados
Режим DEBUG: 2021-06-02 21:28:04,454  dev  INFO: Signed in user vlados
Режим DEBUG: 2021-06-02 21:31:23,455  dev  INFO: User   added to favorites offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:31:23,473  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 21:31:23,510  dev  INFO: Get details of offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:31:23,606  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 21:31:23,634  dev  INFO: POST data to sign up user
Режим DEBUG: 2021-06-02 21:31:23,636  dev  INFO: Validating username to sign up a User
Режим DEBUG: 2021-06-02 21:31:23,640  dev  INFO: Confirming password to sign up a user
Режим DEBUG: 2021-06-02 21:31:24,075  dev  INFO: Signed up user vlados
Режим DEBUG: 2021-06-02 21:31:24,081  dev  INFO: Signed in user vlados
Режим DEBUG: 2021-06-02 21:31:24,101  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 21:31:24,101  dev  INFO: Validating users authenticating
Режим DEBUG: 2021-06-02 21:31:24,104  dev  ERROR: User vlados not found
Режим DEBUG: 2021-06-02 21:31:24,105  dev  WARNING: bad POST data to authorise user
Режим DEBUG: 2021-06-02 21:33:13,413  dev  INFO: User   added to favorites offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:33:13,435  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 21:33:13,472  dev  INFO: Get details of offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:33:13,564  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 21:33:13,591  dev  INFO: POST data to sign up user
Режим DEBUG: 2021-06-02 21:33:13,593  dev  INFO: Validating username to sign up a User
Режим DEBUG: 2021-06-02 21:33:13,596  dev  INFO: Confirming password to sign up a user
Режим DEBUG: 2021-06-02 21:33:14,030  dev  INFO: Signed up user vlados
Режим DEBUG: 2021-06-02 21:33:14,035  dev  INFO: Signed in user vlados
Режим DEBUG: 2021-06-02 21:33:14,054  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 21:33:14,056  dev  INFO: Validating users authenticating
Режим DEBUG: 2021-06-02 21:37:35,338  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 21:37:37,018  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 21:37:52,443  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 21:37:52,444  dev  INFO: Validating users authenticating
Режим DEBUG: 2021-06-02 21:37:52,911  dev  INFO: Authorised user user
Режим DEBUG: 2021-06-02 21:37:52,926  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 21:38:30,589  dev  INFO: User   added to favorites offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:38:30,608  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 21:38:30,798  dev  INFO: Get details of offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:38:30,924  dev  INFO: POST data to sign up user
Режим DEBUG: 2021-06-02 21:38:30,927  dev  INFO: Validating username to sign up a User
Режим DEBUG: 2021-06-02 21:38:30,929  dev  INFO: Confirming password to sign up a user
Режим DEBUG: 2021-06-02 21:38:31,374  dev  INFO: Signed up user vlados
Режим DEBUG: 2021-06-02 21:38:31,379  dev  INFO: Signed in user vlados
Режим DEBUG: 2021-06-02 21:38:31,400  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 21:38:31,423  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 21:38:31,425  dev  INFO: Validating users authenticating
Режим DEBUG: 2021-06-02 21:43:06,109  dev  INFO: User   added to favorites offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:43:06,137  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 21:43:06,186  dev  INFO: Get details of offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:43:06,291  dev  INFO: POST data to sign up user
Режим DEBUG: 2021-06-02 21:43:06,293  dev  INFO: Validating username to sign up a User
Режим DEBUG: 2021-06-02 21:43:06,295  dev  INFO: Confirming password to sign up a user
Режим DEBUG: 2021-06-02 21:43:06,741  dev  INFO: Signed up user vlados
Режим DEBUG: 2021-06-02 21:43:06,747  dev  INFO: Signed in user vlados
Режим DEBUG: 2021-06-02 21:43:06,771  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 21:43:06,800  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 21:43:06,804  dev  INFO: Validating users authenticating
Режим DEBUG: 2021-06-02 21:43:06,809  dev  ERROR: User vlados not found
Режим DEBUG: 2021-06-02 21:43:06,810  dev  WARNING: bad POST data to authorise user
Режим DEBUG: 2021-06-02 21:43:52,512  dev  INFO: User   added to favorites offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:43:52,538  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 21:43:52,582  dev  INFO: Get details of offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:43:52,688  dev  INFO: POST data to sign up user
Режим DEBUG: 2021-06-02 21:43:52,690  dev  INFO: Validating username to sign up a User
Режим DEBUG: 2021-06-02 21:43:52,693  dev  INFO: Confirming password to sign up a user
Режим DEBUG: 2021-06-02 21:43:53,130  dev  INFO: Signed up user vlados
Режим DEBUG: 2021-06-02 21:43:53,135  dev  INFO: Signed in user vlados
Режим DEBUG: 2021-06-02 21:43:53,152  dev  INFO: Signing in
Режим DEBUG: 2021-06-02 21:43:53,177  dev  INFO: POST data to authorise user
Режим DEBUG: 2021-06-02 21:43:53,179  dev  INFO: Validating users authenticating
Режим DEBUG: 2021-06-02 21:43:53,181  dev  ERROR: User testuser not found
Режим DEBUG: 2021-06-02 21:43:53,182  dev  WARNING: bad POST data to authorise user
Режим DEBUG: 2021-06-02 21:46:18,401  dev  INFO: User   added to favorites offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:46:18,423  dev  INFO: Get objects of <class 'cars.db_models.offer.Offer'>
Режим DEBUG: 2021-06-02 21:46:18,467  dev  INFO: Get details of offer Toyota Supra 1989
Режим DEBUG: 2021-06-02 21:46:18,579  dev  INFO: POST data to sign up user
